date,username,text
2019-07-25 16:47:33,suesui618,:smiling_face_with_heart-eyes::smiling_face_with_heart-eyes::smiling_face_with_heart-eyes:
2020-01-18 10:25:29,princess_enang,How much is this round coffee table & its size (diameter x heignt)?
2019-08-16 00:41:49,eric_genzken,Love the edit !!!
2019-07-27 18:29:01,jmilovetheworld,Wow.. What is the price range?
2019-07-27 15:38:22,sygnur,How much is the sofa?:smiling_face_with_heart-eyes::smiling_face_with_heart-eyes::smiling_face_with_heart-eyes:
2019-07-27 10:42:27,suesui618,:smiling_face_with_heart-eyes::smiling_face_with_heart-eyes::smiling_face_with_heart-eyes:
2020-02-18 09:22:54,athadennywauran,@dennywauran wanna check this one out?
2019-07-30 20:29:53,t2leet2,@leelilyious
2019-08-01 17:41:58,qarteeka_eu,Beautiful:red_heart:
2019-08-05 10:39:55,unsai_1965,Nice tea cup and saucer do you sell this
2019-08-14 19:15:51,yogasgowda,How much is this ?
2019-08-10 20:41:41,sanwi29,"Borong bu, jgn cuma di liatin aja :grinning_face_with_smiling_eyes:"
2019-08-09 20:37:36,narinta298,Baguuss yaa :smiling_face_with_heart-eyes:
2019-08-09 19:53:41,dnartyasari,Lucu lucuuu
2019-10-23 09:03:54,wihardjasg,"Yes we can, do drop by our showrooms and have a chat with our colleagues on site for more custom options."
2019-10-09 08:04:11,cathycat09,Hi are u able to customise this piece to smaller ?
2019-08-13 14:19:51,rosmi_mawar,"Hi, I am yr regular customer,  I would like to enquire the tv consoles can it be varnished  to mahagony color? And can you pm me the length and price,  cause I am interested to purchase in future, thank you."
2019-08-15 23:19:23,suriah_1.0,Nice!
2019-08-14 15:38:07,seema.goyal75,"Hi, can you customised it with the size / dimensions.."
2020-06-04 11:19:28,izz_28_,Price of the sofa
2020-05-28 20:10:49,ongsharon,The odd one is square cushion
2020-05-08 22:43:03,izz_28_,Price..tq
2020-03-27 11:14:07,epain07,Where is your showroom located?
2020-03-20 19:40:00,anzsha,Price pls
2019-12-30 19:33:26,jeaninekuma,Is it the I can't what fruit square pillow?
2019-11-24 10:20:35,karmilabah,Cantik mau di jail  berape
2019-11-18 11:21:33,wihardjasg,check out wja.sg
2019-11-18 00:20:16,ogycutiepie,may i know where to get all the lovely cushion?
2019-11-15 19:53:09,niza_ohh,Hw much
2019-09-09 20:26:37,everlasting_26,How much is this
2019-11-24 13:55:35,carolinehong6081,Where is the show room ?
2019-10-23 08:51:44,wihardjasg,the price depends on the length and width of the table. I would suggest that you visit our showrooms and have a chat with our colleagues to have more details.
2019-10-12 20:12:15,youflavourhot,hello.. how much is this dining table
2019-10-27 01:32:26,panu_sthanembang,Price plz
2020-02-06 21:40:43,nr.suehaidah,Are the legs customisable?
2019-08-21 15:45:06,huda_ridawi,hi..how much is the middle armchair?
2020-04-17 20:00:39,ruchelws,How much?
2020-03-03 20:07:39,rreggieee,@thara_gesan
2019-09-21 18:13:55,eek032412,Price pls @wihardjasg
2020-03-09 11:54:21,shine_bright_l,Is this available? Price and measurements pls
2019-08-24 10:39:22,sasi_22_10,How much
2019-08-24 10:17:23,kyuenfoziah,Pm price pls
2019-10-23 09:03:12,wihardjasg,The price is $19 each. You can visit any of our two showrooms to pick it up.
2019-10-10 23:59:55,yanyantijapar,How much..?
2020-01-20 16:31:22,radhiahalmusyayyakh,@wihardjasg how much is this
2019-09-01 16:24:49,zees.sg,A bunch of energetic and fun loving guys! See you all at the Grand Finals! All the best :red_heart: #mrzealous2019 #mrworldsingapore2019 @picklesthefrog
2020-05-17 18:01:54,heedasham,Ive PM you..thanks
2020-04-21 08:28:23,dayanahidir,How much marble table
2020-04-10 08:06:23,fleur_place,Do u have a desk TOP organiser about 14”x 7”x 7”?
2020-02-21 10:17:28,irene.taw,Address pls
2020-01-27 19:40:12,hs_bakesnbites,How much
2020-01-24 16:55:13,parikrama08,You shops is no longer at ubi Avenue ???? What’s your current address
2020-01-22 09:30:29,gothic_j,Do the marble table come in round shape. Thank you.
2020-01-18 13:36:08,shals5206,How much for the chair ?
2019-12-26 19:06:47,misha.traveller,How much is it
2019-11-18 08:10:23,alwaysjolam,Swee:smiling_face_with_heart-eyes:
2019-11-01 09:46:20,rossana_santianes,How much for the marble table?
2019-10-30 10:10:35,drimcumtru,Price?
2019-10-27 18:55:25,sgm7,May I know where to see the dining table ?
2019-09-02 23:19:06,seema.goyal75,Which showroom it can be physically seen...
2019-09-05 19:10:35,tan_yongwei,:face_with_tears_of_joy:
2019-09-03 20:07:50,she_rlyn,@gordantay :thumbs_up::flexed_biceps::hundred_points:
2019-09-03 10:53:58,moh_iqbalpohan,Cute:strawberry::strawberry::strawberry::OK_hand:
2019-09-03 09:08:00,kinshing.wong.16,:grinning_face_with_smiling_eyes::thumbs_up:
2019-09-02 23:35:32,t_e_s32,#oneofakind #rvd :grinning_squinting_face::grinning_face_with_sweat::face_with_hand_over_mouth:
2019-09-02 22:52:32,zees.sg,Power lah :flexed_biceps_medium_skin_tone: stress tested @zees.sg Zees mattress and @wihardjasg solid teakwood bed :hundred_points: @zees_mattress
2019-09-02 22:34:56,timtimtokyo,O’ to be that mattress.
2019-11-24 13:54:14,carolinehong6081,How much is this table ? Dimension ?
2019-09-07 11:08:58,isaiahch.co,What is the dimension of the table in this picture!
2019-09-07 17:07:45,farhan_whyy,Why won't you hug me like that :face_blowing_a_kiss:
2019-09-07 15:08:21,timtimtokyo,O’ to be that pillow.
2019-09-07 14:57:46,notorhzee,I didn't know you sleep with your hands in your pockets in reality :face_with_monocle::thinking_face:
2019-09-07 13:18:18,maomaomaofeng,So cute
2019-09-09 22:31:23,pyopyo33,Pilliow expensive ma?:beaming_face_with_smiling_eyes:
2019-09-09 13:28:00,victorl0,Nice info! :thumbs_up_light_skin_tone:
2019-09-09 12:05:04,momojojoo_,:smiling_face_with_heart-eyes::smiling_face_with_heart-eyes::call_me_hand_light_skin_tone:
2019-09-09 10:47:24,4503melvin,Hope u can sleep well with the pillow
2019-09-14 11:33:41,hamidah__hamid,How much
2019-09-16 21:25:10,lindalim71,This is under which adress?
2020-04-13 21:54:26,andigunawonton,:smiling_face_with_heart-eyes:Omg
2020-05-31 00:39:46,juliernani,Pm price for coffee table? Still avail?
2020-05-20 00:43:44,ayayy6,Can i know the price? For the coffee table.
2020-03-17 07:15:33,beingmfazil,Pm price please
2019-12-09 20:21:40,sjulita,Pm price pls!tq
2019-09-24 17:59:26,jacjacjacq,Pm price thanks
2019-09-24 16:02:37,shantisinnathurai,Price pls
2019-09-24 15:34:34,seema.goyal75,Price pls..
2019-09-24 14:18:10,kae.reade,Hi! How much is this table please?
2019-10-01 21:30:04,khimfromlittlereddot,@chelsealeecy @kieronxlee
2020-01-08 15:53:47,mazni_11,How much
2019-10-15 18:25:56,mssy_jdp,"Hi, could I please know how much are the chairs each n do u do delivery? Thanks."
2019-10-07 20:00:30,iluvhuay,What is the height of the bar stool?
2019-10-23 09:04:10,wihardjasg,"cute hor, we love it too!"
2019-10-08 16:10:36,sparklefreeze,Lovely plant stand!
2020-04-13 21:53:39,andigunawonton,:heart_suit:
2019-12-30 00:45:18,umicutie,How much?
2019-12-27 16:23:23,rozznah,Still available. Price pls
2019-11-19 07:27:51,mak_tiri_kau,Hi how much is this?
2019-10-12 12:49:00,kuniokuma78,:thumbs_up_light_skin_tone:
2020-04-08 12:07:28,_toffeenutz_,Price
2020-01-05 00:01:37,estherbearsndolls,Meow meow pillow ... :smiling_cat_with_heart-eyes:
2020-01-04 19:16:53,whitetigress,@estherbearsndolls
2020-04-13 21:53:33,andigunawonton,:smiling_face_with_heart-eyes::smiling_face_with_heart-eyes::smiling_face_with_heart-eyes:
2019-10-20 11:35:16,kyuenfoziah,Pm price pls
2019-11-01 18:54:55,elaramlah,Pm me the price of coffee table with stools please
2020-06-17 22:32:13,esther.cck,How much for the Long one
2020-04-15 17:12:55,taurus.taurus.1088893,How much???
2020-06-16 22:55:49,achaiwm,"Is this still available?
PM price and measurements pls. Thanks"
2020-06-20 16:51:22,mssy_jdp,Hi  can I know the price of the bench thanks pm:thumbs_up:
2020-06-05 14:10:01,madhurartist,Cost?
2019-11-11 16:24:25,khimfromlittlereddot,This bench looks good to be placed at our lift lobby @77mu
2020-03-19 22:22:04,judy_moses_always,PM PRICE PLEASE
2020-01-06 00:13:21,rafidah23,Can pm me the price
2019-11-13 22:21:34,daliahdin,What the price of that..
2019-11-13 15:41:14,seema.goyal75,If this can be more stabilise and use as extension of Coffee Table ...then superb...
2019-11-17 10:14:00,touche_mon_cherie,Nice. How much wd something similar cost?
2020-04-06 17:09:16,crafts_for_kids_ideas_for_moms,Sembawang. Few more murals around the corner too.
2020-04-05 21:57:42,mingxiangggg,sembawang blk 351d? i walk pass there everyday too. :face_savoring_food:
2020-03-31 22:03:11,andylowcl,@unicorn_d_1977
2019-12-16 11:01:47,ziziazali,sembawang! hee. i walk pass this every single day :)
2020-07-26 19:02:31,jnybergtan,"Hi , what’s the dimension of this sofa ?"
2020-06-13 13:12:31,euniceshaeunicesha,Hw much d L shape sofa
2020-06-02 14:36:51,nisadiayun,"Hi, how much is the L shape sofa ?"
2020-02-26 10:54:53,penny_leowmc,Do you stil have this sofa?
2020-01-18 06:56:41,maimunahwahid45,How much  1set sofa
2020-01-07 10:38:41,jsl_suri,Price pls @wihardjasg:smiling_face_with_smiling_eyes:
2020-01-05 20:22:55,wifey_2toklan,Can I know the price of the L shape.. thanks
2019-12-16 15:54:51,renu1311,What's the price for the l shape sofa
2019-11-23 10:39:16,asiahyahyay,Plz forward your address
2020-02-01 09:53:26,priyanandakumar,Pp?
2020-01-07 10:39:58,jsl_suri,Nice!!! @wihardjasg :thumbs_up::smiling_face_with_smiling_eyes:
2019-12-16 14:03:22,mythi_myth,Price
2020-04-09 15:17:25,aiz_fie,Is this still available?
2020-02-17 00:34:33,girlie_babyyyy,How much is this set?
2020-05-08 13:50:48,hina_and_hana,How much and what are the dimensions?
2020-05-27 04:54:05,jumin_is_secretly_gay,These swings are located at SOTA!! Nice
2020-05-24 11:19:47,jes_yeet,Isn’t dis at sota??
2020-02-26 00:08:55,rossbridal,Hw much
2020-02-26 10:54:00,penny_leowmc,Do you stil have this sofa?
2019-12-15 10:18:07,asiahyahyay,Pm me the price pls
2020-04-19 20:10:23,eatmaicake,Hi @wihardjasg is the dining chair in stocks n adv price please TQ
2020-03-10 14:38:39,m49d4ch3lly,Is the blue chair still available?
2020-04-19 16:35:23,shun_lt266,Hi is the table still available?
2020-01-15 17:19:47,mmanggz,Hi can I check how much is the chair? Thanks
2020-07-26 19:05:13,jnybergtan,What’s the price and length of this sofa ?
2020-02-12 08:20:53,jayjaffri,PM price..
2020-01-08 15:16:39,blamelesswolf,Pm price please
2020-04-08 18:35:03,cristinlim,How much is this?
2020-03-13 07:45:48,jellychain234733,Still available the item? What is the price?
2020-03-09 11:56:18,sillylovesongsforlife,"Hi, at which branch can I find this shoe cabinet? Any lighter shades of brown?"
2020-01-15 20:42:53,ektac,Is it a 5 seater ?
2020-01-15 20:42:43,ektac,Hi what fabric is this ? Is this a spring mattress . @wihardjasg price pls
2020-03-16 20:42:27,ensigned,"Hi, can you pm me the price for the tv console please?"
2020-03-15 08:02:44,delitayuartsybakes,How much is  tv console price n measurement..thxs
2020-02-26 00:01:45,rossbridal,Hw much
2020-03-04 13:37:28,zees.sg,#cloud9 :person_in_bed: :zzz:
2020-02-11 19:59:50,vijitha_aravinthan,How much?
2020-08-23 15:02:43,mazni_11,Price
2020-03-09 00:44:10,aish_76,Can pm me d price... Tq
2020-06-13 13:09:14,euniceshaeunicesha,Hw much
2020-02-05 18:23:44,wihardjasg,Can you dm us your contact number? Our colleague from sales will contact you with more details.
2020-02-01 11:49:07,halizaf2598,Pm?
2020-05-09 12:47:33,maimunah.wahid.56,how much  for the sofa  only
2020-05-09 12:46:54,maimunah.wahid.56,how much  for  this
2020-03-06 19:02:26,ida_kalis,how much the table
2020-11-01 11:34:51,yusoffayu,"Hi,please pm"
2020-08-20 20:12:45,keathew,Price please
2020-06-30 18:57:44,katymonday,How much is t set.
2020-05-01 17:34:09,punithakannan,How much is that set.
2020-04-25 21:37:38,euniceshaeunicesha,Hw much
2020-02-06 01:30:46,bangie_shanshan,@april1920
2020-05-31 18:03:42,scarlettapple,Can I have the price of sofa set?
2020-04-25 21:36:31,euniceshaeunicesha,Hw much
2020-02-20 00:16:00,saunda_ya_xue,Hi how much is the smallest one? Do u hav in lighter tone?
2020-06-07 08:07:48,tama.furnindo,:clapping_hands::love_letter:
2020-07-22 15:54:48,honey040614,Wat is measurements?
2020-06-14 21:45:11,sue_aya79,pm priced please.tks
2020-04-25 21:36:08,euniceshaeunicesha,Hw much
2020-04-04 15:30:43,kavnayer,Whats the price?:)
2020-03-04 03:04:12,puteri_al_rashidah,Price for this
2020-02-17 20:55:52,sgm7,What’s the dimension ?
2020-02-17 16:28:59,mumysha,Hi! How much is this?? :slightly_smiling_face:
2020-02-17 15:31:15,beimo,How much is that. Is for outdoor ?
2020-06-28 21:52:06,doreatina,Hw much?
2020-02-19 17:49:06,arlyn_aelena,Hi. Do u do customisation for the long cushion mattress similar to the sofa abv?
2020-08-02 17:15:15,seema.goyal75,Price for 160 cm x 80 cm dinning table with X legs.
2020-07-06 07:15:19,ainrenfa,How much and price pls
2020-05-31 18:02:39,scarlettapple,Can share price n size of table with n with seats
2020-04-25 13:47:02,dahaliaabbas,Pm price pls & dimension
2020-04-19 20:03:43,realstuffonlybyp,Could you share the price and dimensions with me? @wihardjasg
2020-03-19 16:38:28,robin_hellrider,dimension? price?
2020-02-22 09:49:40,seema.goyal75,Price and dimensions please...
2020-04-12 14:03:34,preeti0328,Price
2020-04-12 14:03:31,preeti0328,Super single ?
2020-03-11 01:23:37,eddie_puricon,Hi how much for this bed frame? Thanks.
2020-03-08 19:15:58,jackson_low23,Teak or solid wood ?
2020-03-04 13:38:20,zees.sg,#stratus
2020-02-23 16:57:55,zees.sg,:thumbs_up_light_skin_tone::person_in_bed:
2020-02-23 10:16:06,hamidah__hamid,How much
2020-02-23 10:01:38,rey_0910,We want to help people make the switch to a sustainable life and mindset! Wanna help? Dm @drippot and tell them ReY sent you. :seedling:
2021-03-28 11:07:58,chubby.stick,"Hi, possible to PM me the price for Queen size. Thank u"
2020-08-26 10:44:55,carolinefx,Hello! Please PM the price. Thanks!
2020-07-07 19:53:00,threetwowang,Are you selling this bed frame? Where can I find it?
2020-06-29 06:37:35,fzrh17,Price boss
2020-04-25 21:35:22,euniceshaeunicesha,Hw much
2020-04-19 02:33:31,ritasamad,Hi price pls
2020-03-27 10:09:16,daniel082,Can I know the price ?
2020-06-30 11:22:49,kalaivani09,Price pls
2020-05-22 15:23:00,watijess,How much is dis?
2020-06-08 19:08:05,aim1409,How much is this and size pls?
2020-04-04 18:01:10,ruchelws,How much is this ?
2020-04-19 20:06:12,realstuffonlybyp,:smiling_face_with_heart-eyes::smiling_face_with_heart-eyes::smiling_face_with_heart-eyes: Wow this one is amazing!
2020-12-29 22:52:24,yulsalleh,Can pm price pls:smiling_face_with_heart-eyes:
2020-11-10 10:51:58,0masaza0,How much?
2020-09-27 00:59:23,serimurni.s,Hi how much is this? :two_hearts:
2020-06-28 21:50:36,doreatina,Hw much?
2020-06-27 03:42:01,snehal.shelgaonkar,pp
2020-06-26 06:16:46,kar.tini.96780671,Hi how much is this?
2020-05-08 22:45:07,izz_28_,Price pls
2020-03-24 15:11:54,lindasosweet,Dm me the price pls for the sofa
2020-03-14 19:39:28,zan_ex_zero,Model name please?
2020-03-12 06:39:28,maimunah.wahid.56,how much :kiss_mark:
2020-03-11 09:21:00,nashreeperry,@nxrsyakirin
2020-04-08 20:48:47,trovecraftindia,Where is that chair from? Is that water hyacinth woven ?
2020-03-18 13:03:11,calligraphy_by_kamaljeet,Beautiful:blue_heart:
2020-03-17 10:20:53,rainbowthecoloursofindia,:yellow_heart::OK_hand:
2020-03-13 22:58:28,nitushahmau,Wow fabulous
2020-03-13 02:03:57,_.yahvi._home,Fabulous :beating_heart:
2020-03-13 00:12:22,willowandlovehome,Looks fabulous Asha. And I'm crushing hard on that chair. :smiling_face_with_heart-eyes::smiling_face_with_heart-eyes:
2020-03-12 22:27:09,anupmar,Awesome :OK_hand::OK_hand:
2020-03-12 21:43:16,maadhumita,Am awestruck.:smiling_face_with_heart-eyes::smiling_face_with_heart-eyes::smiling_face_with_heart-eyes: Fabulous Asha :two_hearts::two_hearts:
2020-03-12 21:26:42,purnimavenkateswaran,I love the chair
2020-03-12 21:09:21,thecurlybhojandevi,It's so pretty...love the cane chair:red_heart:
2020-03-12 21:07:13,moodycookist,Fabulous.
2020-03-12 19:00:40,gulmohar_nest,So pretty:red_heart::red_heart::red_heart:
2020-03-12 18:54:18,jyoti_malude_,And that cane chair..unique :OK_hand::red_heart:
2020-03-12 18:27:37,thehomedream,Everything you touch turns to gold Asha !
2020-03-12 18:17:27,reshmakadvath,Absolutely good :red_heart:
2020-03-12 18:11:25,decorandfashionalleybysurbhi,Beautiful :red_heart::smiling_face_with_heart-eyes:
2020-03-12 18:10:13,thebohobaalika,Neat and pretttty:red_heart:
2020-03-12 18:06:27,mydecordrama,Beautiful
2020-03-12 17:48:36,_libra_arts_,Love it:red_heart::red_heart::red_heart::red_heart::red_heart:
2020-03-12 17:46:07,hemalpaliwal,Beautiful :two_hearts:
2020-03-12 17:42:37,malsy9,Lovely :smiling_face_with_smiling_eyes:
2020-03-12 17:37:38,sajavatdecorblog,Lovely:red_heart:
2020-03-12 17:37:07,vinodraveendr,:OK_hand::OK_hand:
2020-05-26 22:44:48,yopresh,How much is a set like this?
2020-05-04 16:52:34,handsdesignsg,Oh wow the wood is amazing :smiling_face_with_heart-eyes:
2020-04-19 20:05:13,realstuffonlybyp,:smiling_face_with_heart-eyes::smiling_face_with_heart-eyes::smiling_face_with_heart-eyes:
2020-03-19 16:36:57,robin_hellrider,wow. wats the damage for this? @wihardjasg
2020-03-16 15:27:42,dezainn_sg,This table is :hundred_points::star-struck:
2020-04-13 21:52:48,andigunawonton,:smiling_face_with_heart-eyes:
2020-07-03 03:40:35,q_izabeth,What’s the dimensions of this swing ?
2021-02-20 00:21:23,izmeddy,Hi can pm me the price of the stool pls....? Tq
2020-08-28 18:37:58,overthe.moonbow,Hi! Could you PM me the price of the table?
2020-08-13 23:44:49,leo.diana,"Hi, How much is the stool?  Cash and carry?"
2020-07-14 11:19:05,proattivo_chailatte,Hi. Please PM price and size of table. Thanks
2020-06-05 09:06:27,gklirene,"Hello, pls PM the price, thank you"
2020-05-04 16:52:14,handsdesignsg,This is beautiful :smiling_face_with_heart-eyes:
2020-03-24 18:01:20,rajeevs9,Price with 2 wooden stools pls?
2020-04-25 21:33:52,euniceshaeunicesha,Hw much
2020-03-27 10:08:04,daniel082,Can I know the price ?
2020-08-18 16:41:25,joonypop,PM price for the sofa
